"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
NE,"1/10/2021 12 a.m. EST",12769,12710,10208,-2561
NE,"1/10/2021 1 a.m. EST",11907,11990,9436,-2471
NE,"1/10/2021 2 a.m. EST",11699,11620,9020,-2679
NE,"1/10/2021 3 a.m. EST",11616,11400,8991,-2625
NE,"1/10/2021 4 a.m. EST",11562,11340,8736,-2826
NE,"1/10/2021 5 a.m. EST",11674,11430,8963,-2711
NE,"1/10/2021 6 a.m. EST",11974,11730,9163,-2811
NE,"1/10/2021 7 a.m. EST",12226,12240,9622,-2604
NE,"1/10/2021 8 a.m. EST",12767,12760,9902,-2865
NE,"1/10/2021 9 a.m. EST",13004,13090,10063,-2941
NE,"1/10/2021 10 a.m. EST",12757,12790,9904,-2853
NE,"1/10/2021 11 a.m. EST",12336,12690,9623,-2713
NE,"1/10/2021 12 p.m. EST",12131,12670,9465,-2666
NE,"1/10/2021 1 p.m. EST",12179,12700,9644,-2535
NE,"1/10/2021 2 p.m. EST",12321,12810,9693,-2628
NE,"1/10/2021 3 p.m. EST",12754,13150,10066,-2688
NE,"1/10/2021 4 p.m. EST",13622,13870,10872,-2750
NE,"1/10/2021 5 p.m. EST",14958,15210,12412,-2546
NE,"1/10/2021 6 p.m. EST",16179,16250,13522,-2657
NE,"1/10/2021 7 p.m. EST",16090,16060,13313,-2777
NE,"1/10/2021 8 p.m. EST",15591,15560,12793,-2798
NE,"1/10/2021 9 p.m. EST",15010,14940,12194,-2816
NE,"1/10/2021 10 p.m. EST",14244,14140,11593,-2651
NE,"1/10/2021 11 p.m. EST",13355,13270,10587,-2768
NE,"1/11/2021 12 a.m. EST",12578,12470,9712,-2866
NE,"1/11/2021 1 a.m. EST",12209,12010,9612,-2597
NE,"1/11/2021 2 a.m. EST",12283,11760,9615,-2668
NE,"1/11/2021 3 a.m. EST",12262,11720,9692,-2570
NE,"1/11/2021 4 a.m. EST",12381,11840,9889,-2492
NE,"1/11/2021 5 a.m. EST",12483,12260,10086,-2397
NE,"1/11/2021 6 a.m. EST",13189,13220,10823,-2366
NE,"1/11/2021 7 a.m. EST",14656,14670,12290,-2366
NE,"1/11/2021 8 a.m. EST",15778,15780,13330,-2448
NE,"1/11/2021 9 a.m. EST",16161,16150,13490,-2671
NE,"1/11/2021 10 a.m. EST",16141,16140,13646,-2495
NE,"1/11/2021 11 a.m. EST",16052,16060,13344,-2708
NE,"1/11/2021 12 p.m. EST",16099,16080,13470,-2629
NE,"1/11/2021 1 p.m. EST",16013,15990,13316,-2697
NE,"1/11/2021 2 p.m. EST",15987,15920,13323,-2664
NE,"1/11/2021 3 p.m. EST",15930,15880,13266,-2664
NE,"1/11/2021 4 p.m. EST",16031,16320,13160,-2871
NE,"1/11/2021 5 p.m. EST",16664,17140,13902,-2762
NE,"1/11/2021 6 p.m. EST",17412,17840,14564,-2848
NE,"1/11/2021 7 p.m. EST",17092,17460,14296,-2796
NE,"1/11/2021 8 p.m. EST",16493,16890,13589,-2904
NE,"1/11/2021 9 p.m. EST",15693,16070,12757,-2936
NE,"1/11/2021 10 p.m. EST",14745,15120,11804,-2941
NE,"1/11/2021 11 p.m. EST",13698,13910,10755,-2943
NE,"1/12/2021 12 a.m. EST",12882,12860,10032,-2850
NE,"1/12/2021 1 a.m. EST",12689,12150,9822,-2867
NE,"1/12/2021 2 a.m. EST",12718,11850,9823,-2895
NE,"1/12/2021 3 a.m. EST",12812,11730,9916,-2896
NE,"1/12/2021 4 a.m. EST",12866,11800,9995,-2871
NE,"1/12/2021 5 a.m. EST",12924,12130,10051,-2873
NE,"1/12/2021 6 a.m. EST",13347,13060,10591,-2756
NE,"1/12/2021 7 a.m. EST",14383,14630,11716,-2667
NE,"1/12/2021 8 a.m. EST",15434,15470,12612,-2822
NE,"1/12/2021 9 a.m. EST",15632,15380,12822,-2810
